rule_key,from_priority_rank,to_priority_rank,rule_kind,instruction_fr,instruction_en,min_ratio,max_ratio,default_ratio,evidence_tier,confidence_score,valid_from,status,notes,context_cooking_methods,context_dish_roles,context_cuisines,excluded_priority_ranks,fodmap_safety_score,flavor_match_score,texture_match_score,method_match_score,availability_fr_score,cost_fr_score,ranking_score,from_overall_level,to_overall_level,from_burden_ratio,to_burden_ratio,to_coverage_ratio,from_driver_subtype,to_driver_subtype,from_root_category,to_root_category,allergen_change,second_review_required
B03_001,21,39,direct_swap,"Remplacez Lentille brune, cuite par Champignon, pleurote, crue dans les usages similaires.","Replace Brown lentils, cooked with Oyster mushroom, raw for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-21,draft,phase3_batch03_rule,"",legume_principal,francaise,"",0.794,0.333,1.000,0.000,0.500,0.500,0.695,high,moderate,4.166667,1.000000,0.666700,mannitol,mannitol,legumineuses,ciqual_grp_02,f,t
B03_002,18,39,direct_swap,"Remplacez Pois chiche, appertisé, égoutté par Champignon, pleurote, crue dans les usages similaires.","Replace Chick pea, canned, drained with Oyster mushroom, raw for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-21,draft,phase3_batch03_rule,"",legume_principal,francaise,"",0.782,0.333,1.000,0.000,0.500,0.500,0.686,high,moderate,3.125000,1.000000,0.666700,mannitol,mannitol,ciqual_grp_02,ciqual_grp_02,f,f
B03_003,21,37,direct_swap,"Remplacez Lentille brune, cuite par Champignon de Paris ou champignon de couche, cru dans les usages similaires.","Replace Brown lentils, cooked with Button mushroom or cultivated mushroom, raw for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-21,draft,phase3_batch03_rule,"",legume_principal,francaise,"",0.650,0.333,1.000,0.000,0.500,0.500,0.587,high,high,4.166667,1.125000,0.666700,mannitol,mannitol,legumineuses,ciqual_grp_02,f,t
B03_004,18,37,direct_swap,"Remplacez Pois chiche, appertisé, égoutté par Champignon de Paris ou champignon de couche, cru dans les usages similaires.","Replace Chick pea, canned, drained with Button mushroom or cultivated mushroom, raw for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-21,draft,phase3_batch03_rule,"",legume_principal,francaise,"",0.636,0.333,1.000,0.000,0.500,0.500,0.577,high,high,3.125000,1.125000,0.666700,mannitol,mannitol,ciqual_grp_02,ciqual_grp_02,f,f
B03_005,31,32,direct_swap,"Remplacez Poire, chair et peau, crue par Cerise douce, crue dans les usages similaires.","Replace Pear, flesh and skin, raw with Sweet cherry, raw for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-21,draft,phase3_batch03_rule,cru_ok,garniture,francaise,"",0.551,0.333,1.000,1.000,0.500,0.500,0.563,high,high,20.200000,18.666667,0.666700,mannitol,mannitol,ciqual_grp_02,fruits,f,t
B03_006,21,38,direct_swap,"Remplacez Lentille brune, cuite par Shiitake, cru dans les usages similaires.","Replace Brown lentils, cooked with Shiitake mushroom, raw for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-21,draft,phase3_batch03_rule,"",legume_principal,"","",0.606,0.333,1.000,0.000,0.500,0.500,0.554,high,high,4.166667,1.500000,0.333300,mannitol,mannitol,legumineuses,legumes_et_verdures,f,t
B03_007,18,38,direct_swap,"Remplacez Pois chiche, appertisé, égoutté par Shiitake, cru dans les usages similaires.","Replace Chick pea, canned, drained with Shiitake mushroom, raw for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-21,draft,phase3_batch03_rule,"",legume_principal,"","",0.588,0.333,1.000,0.000,0.500,0.500,0.541,high,high,3.125000,1.500000,0.333300,mannitol,mannitol,ciqual_grp_02,legumes_et_verdures,f,t
B03_008,21,40,direct_swap,"Remplacez Lentille brune, cuite par Chou-fleur, bouilli/cuit à l'eau dans les usages similaires.","Replace Brown lentils, cooked with Cauliflower, boiled for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-21,draft,phase3_batch03_rule,"",legume_principal,francaise,"",0.647,0.333,0.000,0.000,0.500,0.500,0.536,high,high,4.166667,1.181250,0.666700,mannitol,mannitol,legumineuses,ciqual_grp_02,f,t
B03_009,18,40,direct_swap,"Remplacez Pois chiche, appertisé, égoutté par Chou-fleur, bouilli/cuit à l'eau dans les usages similaires.","Replace Chick pea, canned, drained with Cauliflower, boiled for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-21,draft,phase3_batch03_rule,"",legume_principal,francaise,"",0.633,0.333,0.000,0.000,0.500,0.500,0.525,high,high,3.125000,1.181250,0.666700,mannitol,mannitol,ciqual_grp_02,ciqual_grp_02,f,f
B03_010,38,40,direct_swap,"Remplacez Shiitake, cru par Chou-fleur, bouilli/cuit à l'eau dans les usages similaires.","Replace Shiitake mushroom, raw with Cauliflower, boiled for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-21,draft,phase3_batch03_rule,cuisson_rapide,legume_principal,"","",0.572,0.000,0.000,1.000,0.500,0.500,0.479,high,high,1.500000,1.181250,0.666700,mannitol,mannitol,legumes_et_verdures,ciqual_grp_02,f,t
B03_011,1,4,direct_swap,"Remplacez Ail, cru par Oignon, cru dans les usages similaires.","Replace Garlic, raw with Onion, raw for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-21,draft,phase3_batch03_rule,"",base_aromatique,francaise,"",0.570,0.333,0.000,0.000,0.500,0.500,0.477,high,high,1.700000,1.360000,0.500000,fructan,fructan,ciqual_grp_10,ciqual_grp_02,f,t
B03_012,4,5,direct_swap,"Remplacez Oignon, cru par Oignon, cuit dans les usages similaires.","Replace Onion, raw with Onion, cooked for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-21,draft,phase3_batch03_rule,"",base_aromatique,francaise,"",0.558,0.333,0.000,0.000,0.500,0.500,0.468,high,high,1.360000,1.200000,0.500000,fructan,fructan,ciqual_grp_02,ciqual_grp_02,f,t
