rule_key,from_priority_rank,to_priority_rank,scoring_version_snapshot,fodmap_safety_score_snapshot,from_level,to_level,from_driver_subtype,to_driver_subtype,from_burden_ratio,to_burden_ratio,to_coverage_ratio,auto_eligible,second_review_required,review_decision,review_reason_code,review_notes,reviewed_by,reviewed_at,second_review_decision,second_reviewed_by,second_reviewed_at
B02_001,22,39,v2_full_rollup_2026_02_19_batch02,0.790,high,moderate,mannitol,mannitol,3.750000,1.000000,0.666700,t,f,approve,agent_approved_top_score,"Haricot blanc->Pleurote. Highest score in batch (0.790). HIGH->MODERATE level gain. Cross-type mannitol swap; instruction_fr must specify side-dish/accompaniment context. Auto-eligible, no second review required.",fabiencampana,2026-02-19T20:00:00Z,,,
B02_002,19,23,v2_full_rollup_2026_02_19_batch02,0.585,high,high,mannitol,mannitol,4.166667,3.750000,0.833300,t,t,defer,AWAITING_SECOND_REVIEWER,Substantive review complete; research supports approval; deferred pending independent second reviewer. Original: Lentille verte->Haricot rouge. Small mannitol burden improvement within legume family (4.167->3.750). Both HIGH. Culinary overlap good. Marginal clinical gain but valid.,fabiencampana,2026-02-19T20:00:00Z,,,
B02_003,31,34,v2_full_rollup_2026_02_19_batch02,0.653,high,high,mannitol,mannitol,20.200000,5.000000,0.666700,t,f,approve,agent_approved_with_note,"Poire->Nectarine. Stone fruit swap, culinarily coherent. FLAG: pear (rank 31) mannitol burden ratio 20.200 is anomalous - polyol_wave01 measured only sorbitol for this rank. Mannitol signal likely from global fallback default. Approve but add rank 31 to Phase 2 mannitol measurement expansion queue.",fabiencampana,2026-02-19T20:00:00Z,,,
B02_004,13,15,v2_full_rollup_2026_02_19_batch02,0.578,high,high,fructan,fructan,1.466667,1.093750,0.500000,t,t,defer,AWAITING_SECOND_REVIEWER,Substantive review complete; research supports approval; deferred pending independent second reviewer. Original: Farine T80->Orge perle. Burden improves 1.467->1.094. Both HIGH. Different food formats (flour vs grain) - instruction must scope to relevant recipe types. Low coverage (0.500) reflects culinary gap.,fabiencampana,2026-02-19T20:00:00Z,,,
B02_005,9,7,v2_full_rollup_2026_02_19_batch02,0.560,high,high,fructan,fructan,5.933333,3.150000,0.166700,t,t,defer,AWAITING_SECOND_REVIEWER,"Substantive review complete; research supports approval; deferred pending independent second reviewer. Original: Echalote->Oignon nouveau blanc. Allium swap, reasonable in French aromatics. Burden drops 5.933->3.150. Target still HIGH. Low coverage (0.167) - used differently in recipes. Relative harm reduction justified.",fabiencampana,2026-02-19T20:00:00Z,,,
B02_006,18,21,v2_full_rollup_2026_02_19_batch02,0.490,high,high,gos,gos,1.500000,1.500000,0.166700,f,t,reject,rejected_non_regressive_gate,HARD REJECT. auto_eligible=FALSE. GOS burden identical (1.500->1.500) - zero improvement. Conservative gate fails: to_burden_ratio is not less than from_burden_ratio. Score 0.490 below 0.500 floor. No clinical justification for this swap.,fabiencampana,2026-02-19T20:00:00Z,,,
B02_007,21,18,v2_full_rollup_2026_02_19_batch02,0.490,high,high,gos,gos,1.500000,1.500000,0.166700,f,t,reject,rejected_non_regressive_gate,HARD REJECT. Reverse of B02_006. auto_eligible=FALSE. Identical GOS burden bidirectional swap. Same rejection rationale. Score 0.490 below gate.,fabiencampana,2026-02-19T20:00:00Z,,,
B02_008,15,11,v2_full_rollup_2026_02_19_batch02,0.679,high,moderate,fructan,fructan,1.093750,0.733333,0.166700,t,t,defer,AWAITING_SECOND_REVIEWER,Substantive review complete; research supports approval; deferred pending independent second reviewer. Original: Orge perle->Farine T55. HIGH->MODERATE level gain. Burden improves 1.094->0.733. Coverage 0.167 reflects grain-vs-flour culinary gap. Level improvement is clinically meaningful.,fabiencampana,2026-02-19T20:00:00Z,,,
B02_009,9,1,v2_full_rollup_2026_02_19_batch02,0.677,high,high,fructan,fructan,5.933333,1.700000,0.833300,t,t,defer,AWAITING_SECOND_REVIEWER,Substantive review complete; research supports approval; deferred pending independent second reviewer. Original: Echalote->Ail cru. Strong allium swap with excellent coverage (0.833). Burden drops 5.933->1.700. Both used as aromatics in French cooking. Instruction must address garlic as flavouring quantity vs shallot as bulk ingredient.,fabiencampana,2026-02-19T20:00:00Z,,,
B02_010,14,11,v2_full_rollup_2026_02_19_batch02,0.677,high,moderate,fructan,fructan,1.066667,0.733333,0.166700,t,t,defer,AWAITING_SECOND_REVIEWER,Substantive review complete; research supports approval; deferred pending independent second reviewer. Original: Seigle->Farine T55. HIGH->MODERATE level gain. Rye->wheat flour relevant in baking context. Low coverage (0.167) due to distinctive rye flavour profile. Level improvement justified.,fabiencampana,2026-02-19T20:00:00Z,,,
B02_011,24,20,v2_full_rollup_2026_02_19_batch02,0.604,high,high,gos,gos,2.442857,1.400000,0.500000,t,t,defer,AWAITING_SECOND_REVIEWER,Substantive review complete; research supports approval; deferred pending independent second reviewer. Original: Haricot noir->Lentille corail. Good culinary overlap (legume family). Burden drops 2.443->1.400. Lentille corail softer texture but workable in soups and purees. Coverage 0.500 adequate.,fabiencampana,2026-02-19T20:00:00Z,,,
B02_012,25,20,v2_full_rollup_2026_02_19_batch02,0.588,high,high,gos,gos,2.057143,1.400000,0.500000,t,t,defer,AWAITING_SECOND_REVIEWER,Substantive review complete; research supports approval; deferred pending independent second reviewer. Original: Pois casse->Lentille corail. Natural swap in French soupe de legumes. Similar cooking behaviour. Burden drops 2.057->1.400.,fabiencampana,2026-02-19T20:00:00Z,,,
B02_013,33,34,v2_full_rollup_2026_02_19_batch02,0.586,high,high,mannitol,mannitol,7.200000,5.000000,0.666700,t,t,defer,AWAITING_SECOND_REVIEWER,Substantive review complete; research supports approval; deferred pending independent second reviewer. Original: Peche->Nectarine. Very similar stone fruits - excellent culinary match. FLAG: peach (rank 33) mannitol burden 7.200 likely from global fallback default (polyol_wave01 measured only sorbitol for rank 33). Approve; add rank 33 to Phase 2 mannitol expansion queue.,fabiencampana,2026-02-19T20:00:00Z,,,
B02_014,15,12,v2_full_rollup_2026_02_19_batch02,0.652,high,moderate,fructan,fructan,1.093750,0.933333,0.166700,t,t,defer,AWAITING_SECOND_REVIEWER,Substantive review complete; research supports approval; deferred pending independent second reviewer. Original: Orge perle->Farine T65. HIGH->MODERATE level gain. Same culinary gap caveat as B02_008 (grain vs flour). Level improvement clinically meaningful.,fabiencampana,2026-02-19T20:00:00Z,,,
B02_015,19,37,v2_full_rollup_2026_02_19_batch02,0.650,high,high,mannitol,mannitol,4.166667,1.125000,0.666700,t,f,approve,agent_approved,"Lentille verte->Champignon de Paris. Cross-type mannitol swap. Burden drops 4.167->1.125. Instruction_fr must specify this is mannitol-targeted for side-dish/accompaniment context, not a general legume replacement.",fabiencampana,2026-02-19T20:00:00Z,,,
